,taxa,accepted,
168,Gesneriaceae,TRUE,
169,Glochidion,TRUE,
170,Combretum,TRUE,
171,Goodeniaceae,TRUE,
172,Poaceae,TRUE,
173,Grewia,TRUE,
174,Guettarda,TRUE,
175,Guioa,TRUE,
176,Gunneraceae,TRUE,
177,Clusiaceae,TRUE,
178,Gymnosporia,TRUE,
179,Gymnostoma,TRUE,
180,Haloragaceae,TRUE,
181,Haloragis,TRUE,
182,Hedycarya,TRUE,
183,Heritiera,TRUE,
184,Hernandia,TRUE,
185,Hibbertia,TRUE,
186,Hibiscus,TRUE,
187,Histiopteris incisa,TRUE,
188,Homalanthus,TRUE,
189,Homalium,TRUE,
190,Hymenophyllaceae,TRUE,
191,Hymenophyllum,TRUE,
192,Hypolepis,TRUE,
193,Ilex,TRUE,
194,Ipomoea,TRUE,
195,Ixora,TRUE,
196,Jasminum,TRUE,
197,Joinvillea,TRUE,
198,Juncus,TRUE,
199,Knightia,TRUE,
200,Lauraceae,TRUE,
201,Laurelia,TRUE,
202,Leea,TRUE,
203,Leptospermum,TRUE,
204,Libocedrus,TRUE,
205,Liliaceae,TRUE,
206,Nymphoides,TRUE,
207,Caprifoliaceae,TRUE,
208,Loranthaceae,TRUE,
209,Decaisnina forsteriana,TRUE,
210,Ludwigia,TRUE,
211,Lumnitzera,TRUE,
212,Lycopodiaceae,TRUE,
213,Lycopodiella cernua,TRUE,
214,Lycopodiella,TRUE,
215,Lycopodiella lateralis,TRUE,
216,Lycopodium,TRUE,
217,Lycopodium scariosum,TRUE,
218,Lygodium,TRUE,
219,Lythrum,TRUE,
220,Macaranga,TRUE,
221,Lepidosperma,TRUE,
222,Maesa,TRUE,
223,Mallotus,TRUE,
224,Malpighiaceae,TRUE,
225,Marattiaceae,TRUE,
226,Maytenus,TRUE,
227,Melastomataceae,TRUE,
228,Stemonuraceae,TRUE,
229,Melaleuca,TRUE,
230,Melastoma,TRUE,
231,Meliaceae,TRUE,
232,Melicope,TRUE,
233,Melicytus,TRUE,
234,Melochia,TRUE,
235,Meryta,TRUE,
236,Metrosideros,TRUE,
237,Metroxylon,TRUE,
238,Metroxylon vitiense,TRUE,
239,Microsorum,TRUE,
240,Muehlenbeckia,TRUE,
241,Mussaenda,TRUE,
242,Myoporum,TRUE,
243,Myoporum rapense,TRUE,
244,Myriophyllum,TRUE,
245,Myristica,TRUE,
246,Myrsine,TRUE,
247,Callitris,TRUE,
248,Neonauclea,TRUE,
249,Nepenthes,TRUE,
250,Nestegis,TRUE,
251,Neuburgia,TRUE,
252,Menyanthaceae,TRUE,
253,Nymphoides indica,TRUE,
254,Olacaceae,TRUE,
255,Oleaceae,TRUE,
256,Macrolearia colensoi,TRUE,
257,Onagraceae,TRUE,
258,Ophioglossum,TRUE,
259,Ophiorrhiza,TRUE,
260,Orchidaceae,TRUE,
261,Podocarpaceae,TRUE,
262,Oxalis,TRUE,
263,Paesia,TRUE,
264,Palaquium,TRUE,
265,Pandanus tectorius,TRUE,
266,Pandanus,TRUE,
267,Trema,TRUE,
268,Parinari,TRUE,
269,Chrysobalanaceae,TRUE,
270,Parsonsia,TRUE,
271,Hemionitis,TRUE,
272,Phaleria,TRUE,
273,Huperzia varia,TRUE,
274,Phormium,TRUE,
275,Phyllanthus,TRUE,
276,Phyllocladus,TRUE,
277,Phytolaccaceae,TRUE,
278,Pinaceae,TRUE,
279,Pinus,TRUE,
280,Piper,TRUE,
281,Piperaceae,TRUE,
282,Pisonia,TRUE,
283,Nyctaginaceae,TRUE,
284,Pittosporum,TRUE,
285,Pittosporaceae,TRUE,
286,Planchonella,TRUE,
287,Sapotaceae,TRUE,
288,Plantago,TRUE,
289,Plantaginaceae,TRUE,
290,Plerandra,TRUE,
291,Podocarpus,TRUE,
292,Polygonum,TRUE,
293,Polygala,TRUE,
294,Polygonaceae,TRUE,
295,Polypodium,TRUE,
296,Polyscias,TRUE,
297,Portulacaceae,TRUE,
298,Potamogetonaceae,TRUE,
299,Prumnopitys ferruginea,FALSE,Pectinopitys ferruginea
300,Prumnopitys taxifolia,TRUE,
301,Lycopodium volubile,TRUE,
302,Neopanax arboreus,TRUE,
303,Psidium guava,FALSE,Psidium guajava
304,Psilotum,TRUE,
305,Psychotria,TRUE,
306,Pteridaceae,TRUE,
307,Pteridium,TRUE,
308,Pteridium esculentum,TRUE,
309,Pteris,TRUE,
310,Pteris berteroana,TRUE,
311,Pteris tremula,TRUE,
312,Pyrrosia,TRUE,
313,Quintinia,TRUE,
314,Randia,TRUE,
315,Ranunculaceae,TRUE,
316,Ranunculus,TRUE,
317,Rauvolfia,TRUE,
318,Rhamnaceae,TRUE,
319,Rhizophora,TRUE,
320,Rhopalostylis sapida,TRUE,
321,Rhus,TRUE,
322,Rumex,TRUE,
323,Salacia,TRUE,
324,Saurauia,TRUE,
325,Scaevola,TRUE,
326,Scaevola taccada,TRUE,
327,Schefflera,TRUE,
328,Schizaea,TRUE,
329,Schoenus,TRUE,
330,Selaginella,TRUE,
331,Selaginella kraussiana,TRUE,
332,Sigesbeckia orientalis,TRUE,
333,Simaroubaceae ,FALSE,Simaroubaceae
334,Sloanea,TRUE,
335,Smilacaceae,TRUE,
336,Solanaceae,TRUE,
337,Solanum,TRUE,
338,Sonchus,TRUE,
339,Sophora,TRUE,
340,Sophora tomentosa,TRUE,
341,Thelypteris,TRUE,
342,Lindsaeaceae,TRUE,
343,Stachytarpheta,TRUE,
344,Stenochlaena,TRUE,
345,Streblus,TRUE,
346,Symplocos,TRUE,
347,Syzygium,TRUE,
348,Tapeinosperma,TRUE,
349,Terminalia,TRUE,
350,Combretaceae,TRUE,
351,Timonius,TRUE,
352,Boraginaceae,TRUE,
353,Trifolium,TRUE,
354,Triumfetta,TRUE,
355,Turrillia,TRUE,
356,Typha,TRUE,
357,Typha latifolia,TRUE,
358,Typha orientalis,TRUE,
359,Typhaceae,TRUE,
360,Ulex europaeus,TRUE,
361,Ulmaceae,TRUE,
362,Urena,TRUE,
363,Urticaceae,TRUE,
364,Verbenaceae,TRUE,
365,Veronica,TRUE,
366,Vigna,TRUE,
367,Vitaceae,TRUE,
368,Vitex lucens,TRUE,
369,Weinmannia,TRUE,
370,Thymelaeaceae,TRUE,
371,Xanthomyrtus,TRUE,
371,Anthoceros,genus,
